    DATA    |   HORA   | DESCRIÇÃO 
 21/02/2011 | 09:44:35 | >>> INICIANDO O PROCESSAMENTO DO APA
 21/02/2011 | 09:44:35 | Gerando e-mail para: Maria Eduarda...
 21/02/2011 | 09:44:35 | Verificando Processos abertos no período de: 1 dias...
 21/02/2011 | 09:44:36 | Não foram encontrados processos abertos no período!
 21/02/2011 | 09:44:36 | >>> FINALIZANDO O PROCESSAMENTO DO APA
 21/02/2011 | 09:56:13 | >>> INICIANDO O PROCESSAMENTO DO APA
 21/02/2011 | 09:56:13 | Gerando e-mail para: Maria Eduarda...
 21/02/2011 | 09:56:13 | Verificando Processos abertos no período de: 7 dias...
 21/02/2011 | 09:56:13 | Processos abertos no período: 274
 21/02/2011 | 09:56:13 | Gravando e-Mail automático...
 21/02/2011 | 09:56:14 | Gravando data do aviso no parâmetro.
 21/02/2011 | 09:56:14 | Gerando e-mail para: Maria Eduarda...
 21/02/2011 | 09:56:14 | Verificando Processos abertos no período de: 1 dias...
 21/02/2011 | 09:56:14 | Processos abertos no período: 3
 21/02/2011 | 09:56:14 | Gravando e-Mail automático...
 21/02/2011 | 09:56:14 | Gravando data do aviso no parâmetro.
 21/02/2011 | 09:56:14 | Gerando e-mail para: Maria Eduarda...
 21/02/2011 | 09:56:14 | Verificando Processos abertos no período de: 31 dias...
 21/02/2011 | 09:56:14 | Processos abertos no período: 742
 21/02/2011 | 09:56:14 | Gravando e-Mail automático...
 21/02/2011 | 09:56:14 | Gravando data do aviso no parâmetro.
 21/02/2011 | 09:56:14 | >>> FINALIZANDO O PROCESSAMENTO DO APA
 21/02/2011 | 10:01:08 | >>> INICIANDO O PROCESSAMENTO DO APA
 21/02/2011 | 10:01:08 | >>> FINALIZANDO O PROCESSAMENTO DO APA
 21/02/2011 | 10:02:00 | >>> INICIANDO O PROCESSAMENTO DO APA
 21/02/2011 | 10:02:00 | >>> FINALIZANDO O PROCESSAMENTO DO APA
 21/02/2011 | 10:02:28 | >>> INICIANDO O PROCESSAMENTO DO APA
 21/02/2011 | 10:02:28 | Gerando e-mail para: Maria Eduarda...
 21/02/2011 | 10:02:28 | Verificando Processos abertos no período de: 7 dias...
 21/02/2011 | 10:02:29 | Processos abertos no período: 274
 21/02/2011 | 10:02:29 | Gravando e-Mail automático...
 21/02/2011 | 10:02:35 | Gravando data do aviso no parâmetro.
 21/02/2011 | 10:02:35 | Gerando e-mail para: Maria Eduarda...
 21/02/2011 | 10:02:35 | Verificando Processos abertos no período de: 1 dias...
 21/02/2011 | 10:02:35 | Processos abertos no período: 3
 21/02/2011 | 10:02:36 | Gravando e-Mail automático...
 21/02/2011 | 10:02:37 | Gravando data do aviso no parâmetro.
 21/02/2011 | 10:02:37 | Gerando e-mail para: Maria Eduarda...
 21/02/2011 | 10:02:37 | Verificando Processos abertos no período de: 31 dias...
 21/02/2011 | 10:02:38 | Processos abertos no período: 742
 21/02/2011 | 10:02:38 | Gravando e-Mail automático...
 21/02/2011 | 10:03:46 | Gravando data do aviso no parâmetro.
 21/02/2011 | 10:03:46 | >>> FINALIZANDO O PROCESSAMENTO DO APA
