    DATA    |   HORA   | DESCRIÇÃO 
 27/07/2009 | 11:25:51 | >>> INICIANDO O PROCESSAMENTO DO ADES
 27/07/2009 | 11:25:51 | GERANDO PLANILHA AUTOMÁTICA - ADES 
 27/07/2009 | 11:27:37 | >>> INICIANDO O PROCESSAMENTO DO ADES
 27/07/2009 | 11:27:42 | GERANDO PLANILHA AUTOMÁTICA - ADES 
 27/07/2009 | 11:31:09 | >>> INICIANDO O PROCESSAMENTO DO ADES
 27/07/2009 | 11:31:09 | GERANDO PLANILHA AUTOMÁTICA - ADES 
 27/07/2009 | 11:35:59 | >>> FINALIZANDO O PROCESSAMENTO DO ADES
 27/07/2009 | 11:47:35 | >>> INICIANDO O PROCESSAMENTO DO ADES
 27/07/2009 | 11:47:35 | GERANDO PLANILHA AUTOMÁTICA - ADES 
 27/07/2009 | 11:50:06 | >>> INICIANDO O PROCESSAMENTO DO ADES
 27/07/2009 | 11:50:06 | GERANDO PLANILHA AUTOMÁTICA - ADES 
 27/07/2009 | 12:02:11 | >>> FINALIZANDO O PROCESSAMENTO DO ADES
 27/07/2009 | 12:05:23 | >>> INICIANDO O PROCESSAMENTO DO ADES
 27/07/2009 | 12:05:23 | GERANDO PLANILHA AUTOMÁTICA - ADES 
 27/07/2009 | 12:06:30 | >>> INICIANDO O PROCESSAMENTO DO ADES
 27/07/2009 | 12:06:30 | GERANDO PLANILHA AUTOMÁTICA - ADES 
 27/07/2009 | 12:11:35 | >>> INICIANDO O PROCESSAMENTO DO ADES
 27/07/2009 | 12:11:35 | GERANDO PLANILHA AUTOMÁTICA - ADES 
 27/07/2009 | 12:16:20 | >>> INICIANDO O PROCESSAMENTO DO ADES
 27/07/2009 | 12:16:20 | GERANDO PLANILHA AUTOMÁTICA - ADES 
 27/07/2009 | 12:19:29 | >>> INICIANDO O PROCESSAMENTO DO ADES
 27/07/2009 | 12:19:29 | GERANDO PLANILHA AUTOMÁTICA - ADES 
 27/07/2009 | 12:24:08 | >>> INICIANDO O PROCESSAMENTO DO ADES
 27/07/2009 | 12:24:08 | GERANDO PLANILHA AUTOMÁTICA - ADES 
 27/07/2009 | 12:30:15 | EMAIL: Marcos Marchi
 27/07/2009 | 12:30:15 | Gravando e-Mails automáticos...
 27/07/2009 | 12:30:16 | >>> FINALIZANDO O PROCESSAMENTO DO ADES
 27/07/2009 | 14:39:11 | >>> INICIANDO O PROCESSAMENTO DO ADES
 27/07/2009 | 14:39:11 | GERANDO PLANILHA AUTOMÁTICA - ADES 
 27/07/2009 | 14:47:22 | EMAIL: Marcos Marchi
 27/07/2009 | 14:47:22 | >>> FINALIZANDO O PROCESSAMENTO DO ADES
